case,algo,timestep,n_seeds,avg_return_mean,avg_return_std,avg_return_ci95,success_rate_mean,success_rate_std,success_rate_ci95,hole_rate_mean,hole_rate_std,hole_rate_ci95,avg_episode_length_mean,avg_episode_length_std,avg_episode_length_ci95
case1_deterministic_4x4,DQN-Safe,2000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,4000,5,0.4,0.5477225575051662,0.480099989585503,0.4,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,62.4,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN-Safe,6000,5,0.4,0.5477225575051662,0.480099989585503,0.4,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,62.4,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN-Safe,8000,5,0.4,0.5477225575051662,0.480099989585503,0.4,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,62.4,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN-Safe,10000,5,0.6,0.5477225575051662,0.480099989585503,0.6,0.5477225575051662,0.480099989585503,0.0,0.0,0.0,43.6,51.485920405485615,45.129399021037266
case1_deterministic_4x4,DQN-Safe,12000,5,0.8,0.4472135954999579,0.39199999999999996,0.8,0.4472135954999579,0.39199999999999996,0.0,0.0,0.0,24.8,42.03807797699605,36.848
case1_deterministic_4x4,DQN-Safe,14000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,16000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,18000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,20000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,22000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,24000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,26000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,28000,5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
case1_deterministic_4x4,DQN-Safe,30000,5,0.8,0.44721359549995804,0.392,0.8,0.44721359549995804,0.392,0.0,0.0,0.0,24.8,42.03807797699606,36.848000000000006
case2_slippery_4x4,DQN-Safe,2000,5,0.175,0.12303454799364281,0.1078445362547403,0.175,0.12303454799364281,0.1078445362547403,0.6050000000000001,0.34680686267719674,0.30398961824378146,43.831,32.29810102776942,28.31053378136131
case2_slippery_4x4,DQN-Safe,4000,5,0.201,0.27727242920997397,0.24304000000000003,0.201,0.27727242920997397,0.24304000000000003,0.065,0.09287087810503356,0.08140491385659714,84.34,21.44338738399323,18.79595776852034
case2_slippery_4x4,DQN-Safe,6000,5,0.274,0.3772002120890178,0.3306305636204856,0.274,0.3772002120890178,0.3306305636204856,0.085,0.12114041439585718,0.10618425495335926,76.878,31.661789589345705,27.75278221394028
case2_slippery_4x4,DQN-Safe,8000,5,0.092,0.20571825392998064,0.18031999999999998,0.092,0.20571825392998064,0.18031999999999998,0.034999999999999996,0.07826237921249263,0.0686,92.62100000000001,16.49994560597095,14.462840000000002
case2_slippery_4x4,DQN-Safe,10000,5,0.22800000000000004,0.33329041390355046,0.2921419285210529,0.22800000000000004,0.33329041390355046,0.2921419285210529,0.08,0.10977249200050075,0.09621983163568724,80.63,27.713155495179542,24.291651826831373
case2_slippery_4x4,DQN-Safe,12000,5,0.35300000000000004,0.2341634044849878,0.20525327378631503,0.35300000000000004,0.2341634044849878,0.20525327378631503,0.27199999999999996,0.2712148594749189,0.23773030601923686,58.597,28.046107929621893,24.583497503292733
case2_slippery_4x4,DQN-Safe,14000,5,0.346,0.3361063819685666,0.294610233359264,0.346,0.3361063819685666,0.294610233359264,0.168,0.16987495401029545,0.14890196237793507,67.50399999999999,29.799016216982736,26.119989362126468
case2_slippery_4x4,DQN-Safe,16000,5,0.4779999999999999,0.30167449345279423,0.26442935237979914,0.4779999999999999,0.30167449345279423,0.26442935237979914,0.146,0.08271940522029883,0.07250675554732815,61.345000000000006,23.976443908553243,21.01627970778843
case2_slippery_4x4,DQN-Safe,18000,5,0.54,0.30886890422961,0.27073553146936585,0.54,0.30886890422961,0.27073553146936585,0.18000000000000002,0.11800423721205947,0.10343527444735669,54.205,25.71871011540042,22.543443371765544
case2_slippery_4x4,DQN-Safe,20000,5,0.568,0.32086991133479625,0.2812548780021424,0.568,0.32086991133479625,0.2812548780021424,0.16099999999999998,0.0967212489580237,0.08477991271521809,52.96400000000001,26.3133809591242,23.064695348640527
case2_slippery_4x4,DQN-Safe,22000,5,0.38099999999999995,0.3540197734590541,0.31031201330274016,0.38099999999999995,0.3540197734590541,0.31031201330274016,0.12,0.13052777482206612,0.11441263916193874,68.17999999999999,30.315669009606236,26.572855502034397
case2_slippery_4x4,DQN-Safe,24000,5,0.496,0.3030140260780018,0.26560350449495196,0.496,0.3030140260780018,0.26560350449495196,0.131,0.08294576541331089,0.07270516900468632,61.3,23.972525680453447,21.012845229430496
case2_slippery_4x4,DQN-Safe,26000,5,0.6659999999999999,0.08088572185497263,0.07089946121092879,0.6659999999999999,0.08088572185497263,0.07089946121092879,0.21400000000000002,0.0778138805098422,0.06820687355391683,43.565000000000005,10.026999177221466,8.78905229407585
case2_slippery_4x4,DQN-Safe,28000,5,0.5439999999999999,0.309059055845319,0.2709022067093585,0.5439999999999999,0.309059055845319,0.2709022067093585,0.189,0.1164259421263148,0.10205183780804734,52.376999999999995,26.636205763959698,23.347663766347154
case2_slippery_4x4,DQN-Safe,30000,5,0.639,0.0943663075467086,0.082715715556356,0.639,0.0943663075467086,0.082715715556356,0.177,0.07957700672933105,0.06975232182515502,49.185,11.62038994612487,10.185720883079409
case2_slippery_4x4,DQN-Safe,32000,5,0.533,0.32195884830207727,0.2822093733383071,0.533,0.32195884830207727,0.2822093733383071,0.14900000000000002,0.08429116205154608,0.0738844611538854,56.76700000000001,25.68106466835049,22.510445682535916
case2_slippery_4x4,DQN-Safe,34000,5,0.679,0.08605230967266361,0.0754281751071839,0.679,0.08605230967266361,0.0754281751071839,0.177,0.05596874127582289,0.049058764762272604,45.645,8.706365487389098,7.631465826169963
case2_slippery_4x4,DQN-Safe,36000,5,0.53,0.32409489351114434,0.2840816995161779,0.53,0.32409489351114434,0.2840816995161779,0.138,0.07782994282408282,0.06822095279311188,57.847,25.48426465488067,22.337942864964088
case2_slippery_4x4,DQN-Safe,38000,5,0.607,0.12745587471748798,0.11171999999999997,0.607,0.12745587471748798,0.11171999999999997,0.152,0.037349698793966206,0.032738454453440535,53.562,10.108057800586618,8.860103310142607
case2_slippery_4x4,DQN-Safe,40000,5,0.675,0.09394147114027966,0.082343330027392,0.675,0.09394147114027966,0.082343330027392,0.188,0.06629479617586886,0.05810995095506446,45.44800000000001,8.352260622130995,7.321079226616798
case2_slippery_4x4,DQN-Safe,42000,5,0.655,0.08139410298049851,0.07134507691494905,0.655,0.08139410298049851,0.07134507691494905,0.20400000000000001,0.08042076846188428,0.07049191159274942,45.408,9.840178225011984,8.625296509361286
case2_slippery_4x4,DQN-Safe,44000,5,0.6460000000000001,0.1299711506450566,0.11392473655883517,0.6460000000000001,0.1299711506450566,0.11392473655883517,0.159,0.034532593299664016,0.030269152614501783,49.956,11.307499391996446,9.911460220048305
case2_slippery_4x4,DQN-Safe,46000,5,0.7380000000000001,0.002738612787525833,0.0024004999479275164,0.7380000000000001,0.002738612787525833,0.0024004999479275164,0.17500000000000002,0.01369306393762915,0.012002499739637568,41.580000000000005,1.246068818324252,1.0922274763070183
case2_slippery_4x4,DQN-Safe,48000,5,0.6769999999999999,0.0843059902972499,0.07389745868431467,0.6769999999999999,0.0843059902972499,0.07389745868431467,0.19099999999999998,0.047749345545253286,0.041854146747962735,44.666000000000004,9.040286499884832,7.924160498727922
case2_slippery_4x4,DQN-Safe,50000,5,0.624,0.1013286731384557,0.088818498073318,0.624,0.1013286731384557,0.088818498073318,0.142,0.0448051336344397,0.03927343122264719,53.045,11.739035842010194,10.289718596152179
case2_slippery_4x4,DQN-Safe,52000,5,0.704,0.07494998332221296,0.06569655698740993,0.704,0.07494998332221296,0.06569655698740993,0.225,0.10694624818103718,0.09374251970157405,39.396,4.520328251355205,3.962242410252054
case2_slippery_4x4,DQN-Safe,54000,5,0.7369999999999999,0.002738612787525833,0.0024004999479275164,0.7369999999999999,0.002738612787525833,0.0024004999479275164,0.18,0.01369306393762915,0.012002499739637568,41.12500000000001,1.246068818324252,1.0922274763070183
case2_slippery_4x4,DQN-Safe,56000,5,0.7380000000000001,0.002738612787525833,0.0024004999479275164,0.7380000000000001,0.002738612787525833,0.0024004999479275164,0.17500000000000002,0.01369306393762915,0.012002499739637568,41.580000000000005,1.246068818324252,1.0922274763070183
case2_slippery_4x4,DQN-Safe,58000,5,0.713,0.052033642962990775,0.04560949901062277,0.713,0.052033642962990775,0.04560949901062277,0.20799999999999996,0.05529466520379701,0.048467911034002685,40.538000000000004,1.1280048758759866,0.9887398679126881
case2_slippery_4x4,DQN-Safe,60000,5,0.5900000000000001,0.3298295014094403,0.2891083049654575,0.5900000000000001,0.3298295014094403,0.2891083049654575,0.14200000000000002,0.08035857141587324,0.07043739347818032,53.08200000000001,26.25261429838941,23.011431022046413
case3_hard_slippery_8x8,DQN-Safe,2000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.7020000000000001,0.40648800720316464,0.3563024479287225,57.263999999999996,28.861090459301778,25.297861187333606
case3_hard_slippery_8x8,DQN-Safe,4000,5,0.004,0.00894427190999916,0.00784,0.004,0.00894427190999916,0.00784,0.32299999999999995,0.23263705637752555,0.20391537068107443,87.232,9.227430980505895,8.088199868598698
case3_hard_slippery_8x8,DQN-Safe,6000,5,0.006,0.01341640786499874,0.01176,0.006,0.01341640786499874,0.01176,0.265,0.21103909590405284,0.18498392362581134,89.811,8.114127648737107,7.112346472269188
case3_hard_slippery_8x8,DQN-Safe,8000,5,0.007000000000000001,0.01565247584249853,0.01372,0.007000000000000001,0.01565247584249853,0.01372,0.219,0.13501851724856115,0.11834894845329215,91.476,5.245757095024513,4.59810882750724
case3_hard_slippery_8x8,DQN-Safe,10000,5,0.006,0.01341640786499874,0.01176,0.006,0.01341640786499874,0.01176,0.16699999999999998,0.24580480060405657,0.21545740739180913,92.751,10.824891685370346,9.48843591376366
case3_hard_slippery_8x8,DQN-Safe,12000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999999998,0.33013254913746387,0.28937393801101025,89.493,15.742702118759667,13.799086818134018
case3_hard_slippery_8x8,DQN-Safe,14000,5,0.005,0.011180339887498949,0.0098,0.005,0.011180339887498949,0.0098,0.074,0.11965575623429071,0.10488289469689516,96.98599999999999,4.602180733087307,4.03398927385783
case3_hard_slippery_8x8,DQN-Safe,16000,5,0.027000000000000003,0.04024922359499622,0.035280000000000006,0.027000000000000003,0.04024922359499622,0.035280000000000006,0.128,0.20861447696648477,0.18285865142234864,94.368,8.387790680506997,7.352222695919923
case3_hard_slippery_8x8,DQN-Safe,18000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.10509519494249012,0.09212,98.321,3.754358134222145,3.290839999999998
case3_hard_slippery_8x8,DQN-Safe,20000,5,0.024,0.03911521443121589,0.034285997141690366,0.024,0.03911521443121589,0.034285997141690366,0.068,0.09311283477587826,0.0816169982295355,96.577,4.81077124793936,4.21682692156081
case3_hard_slippery_8x8,DQN-Safe,22000,5,0.046,0.09208691546577069,0.08071774030533807,0.046,0.09208691546577069,0.08071774030533807,0.132,0.18650067024008252,0.16347504519038983,93.31500000000001,10.509783537257084,9.212231443901093
case3_hard_slippery_8x8,DQN-Safe,24000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.020999999999999998,0.04695742752749558,0.041159999999999995,99.224,1.735188750539835,1.520959999999998
case3_hard_slippery_8x8,DQN-Safe,26000,5,0.019,0.042485291572496,0.037239999999999995,0.019,0.042485291572496,0.037239999999999995,0.037,0.055632724182804495,0.048764232794128934,98.13199999999999,2.5579034383651007,2.242101219481405
case3_hard_slippery_8x8,DQN-Safe,28000,5,0.024,0.05366563145999496,0.04704,0.024,0.05366563145999496,0.04704,0.049,0.1095673308974897,0.09603999999999999,97.547,3.890953610620408,3.4105712140930278
case3_hard_slippery_8x8,DQN-Safe,30000,5,0.033,0.0506951674225463,0.044436273471118164,0.033,0.0506951674225463,0.044436273471118164,0.11499999999999999,0.1543534904043313,0.13529679966651095,94.16,7.74494754662677,6.78874584499965
case3_hard_slippery_8x8,DQN-Safe,32000,5,0.062,0.13863621460498696,0.12151999999999999,0.062,0.13863621460498696,0.12151999999999999,0.015000000000000003,0.020615528128088305,0.01807030713629406,97.23,5.382070930413311,4.717593172370844
case3_hard_slippery_8x8,DQN-Safe,34000,5,0.001,0.0022360679774997894,0.0019599999999999995,0.001,0.0022360679774997894,0.0019599999999999995,0.083,0.10750581379627801,0.09423300058896564,97.296,3.515398981623564,3.0813830676499787
case3_hard_slippery_8x8,DQN-Safe,36000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.015,0.03354101966249685,0.029400000000000003,97.699,3.847386125670258,3.372382629773792
case3_hard_slippery_8x8,DQN-Safe,38000,5,0.011,0.021908902300206645,0.019203999583420117,0.011,0.021908902300206645,0.019203999583420117,0.05900000000000001,0.03629738282576308,0.03181605883826594,97.49499999999999,1.652259816130626,1.448269584020878
case3_hard_slippery_8x8,DQN-Safe,40000,5,0.061,0.13362260287840527,0.11712537555969671,0.061,0.13362260287840527,0.11712537555969671,0.065,0.09643650760992954,0.08453032591916346,95.995,4.058287816308746,3.55724611237401
case3_hard_slippery_8x8,DQN-Safe,42000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.0,0.0,0.0,98.225,3.9690206600621267,3.4789999999999996
case3_hard_slippery_8x8,DQN-Safe,44000,5,0.061,0.13640014662748717,0.11956,0.061,0.13640014662748717,0.11956,0.022,0.03327912258458747,0.02917043708962894,97.27000000000001,5.023116562454027,4.402955796280491
case3_hard_slippery_8x8,DQN-Safe,46000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.040249223594996206,0.03527999999999999,99.326,1.5071098168348602,1.3210400000000015
case3_hard_slippery_8x8,DQN-Safe,48000,5,0.020999999999999998,0.046957427527495585,0.04116,0.020999999999999998,0.046957427527495585,0.04116,0.012,0.02683281572999748,0.02352,98.997,2.2427761814322893,1.96588
case3_hard_slippery_8x8,DQN-Safe,50000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.027000000000000003,0.06037383539249433,0.05292,99.083,2.050474335367304,1.797319999999997
case3_hard_slippery_8x8,DQN-Safe,52000,5,0.032,0.07155417527999328,0.06272,0.032,0.07155417527999328,0.06272,0.01,0.017320508075688773,0.015182094717133072,98.63300000000001,2.334345732748258,2.0461442506333714
case3_hard_slippery_8x8,DQN-Safe,54000,5,0.014000000000000002,0.03130495168499706,0.02744,0.014000000000000002,0.03130495168499706,0.02744,0.04,0.08944271909999159,0.0784,98.095,4.259709497137102,3.7338000000000022
case3_hard_slippery_8x8,DQN-Safe,56000,5,0.023,0.05142956348249516,0.045079999999999995,0.023,0.05142956348249516,0.045079999999999995,0.062,0.07766917020285462,0.06808002937719694,96.95599999999999,3.109749587989358,2.725815696924498
case3_hard_slippery_8x8,DQN-Safe,58000,5,0.023,0.05142956348249516,0.045079999999999995,0.023,0.05142956348249516,0.045079999999999995,0.0,0.0,0.0,99.25699999999999,1.6613985072823454,1.4562800000000014
case3_hard_slippery_8x8,DQN-Safe,60000,5,0.023,0.05142956348249516,0.045079999999999995,0.023,0.05142956348249516,0.045079999999999995,0.005,0.011180339887498949,0.0098,99.092,2.030349723569812,1.7796800000000024
case3_hard_slippery_8x8,DQN-Safe,62000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.024,0.05366563145999496,0.04704,97.401,3.9359249230644635,3.449990307464646
case3_hard_slippery_8x8,DQN-Safe,64000,5,0.041999999999999996,0.09391485505499117,0.08232,0.041999999999999996,0.09391485505499117,0.08232,0.034999999999999996,0.07826237921249264,0.06860000000000001,97.2,6.260990336999411,5.4879999999999995
case3_hard_slippery_8x8,DQN-Safe,66000,5,0.036,0.08049844718999243,0.07056,0.036,0.08049844718999243,0.07056,0.056999999999999995,0.1012793167433509,0.08877523528552317,96.95000000000002,5.916615375364532,5.186142037005927
case3_hard_slippery_8x8,DQN-Safe,68000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
case3_hard_slippery_8x8,DQN-Safe,70000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.073824115301167,0.06470969015533917,98.688,2.4810723488040423,2.1747558001761957
case3_hard_slippery_8x8,DQN-Safe,72000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.025641762809916174,0.022475996084712246,99.322,0.9419235637778687,0.8256324063407398
case3_hard_slippery_8x8,DQN-Safe,74000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.13041280611964454,0.11431186465105007,97.67699999999999,4.906171623577798,4.300449037763383
case3_hard_slippery_8x8,DQN-Safe,76000,5,0.043,0.09615092303249094,0.08427999999999998,0.043,0.09615092303249094,0.08427999999999998,0.07599999999999998,0.08848728722251575,0.07756252703464477,95.71700000000001,4.049426811290705,3.549479099022842
case3_hard_slippery_8x8,DQN-Safe,78000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.028000000000000004,0.0438178046004133,0.03840799916684024,97.405,3.6722710956572913,3.2188875382653555
case3_hard_slippery_8x8,DQN-Safe,80000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.01,0.022360679774997897,0.0196,97.466,5.6661962549844676,4.96664
case3_hard_slippery_8x8,DQN-Safe,82000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.022,0.04919349550499537,0.04311999999999999,97.436,3.919763066819217,3.435823815855521
case3_hard_slippery_8x8,DQN-Safe,84000,5,0.032,0.06879316826546078,0.060299870646627424,0.032,0.06879316826546078,0.060299870646627424,0.05,0.04730221982106125,0.04146222377056011,97.03400000000002,1.87657067546096,1.6448867212060538
case3_hard_slippery_8x8,DQN-Safe,86000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.06,0.09993748045653342,0.08759906392193925,95.59,5.9759141560099405,5.238119709972272
case3_hard_slippery_8x8,DQN-Safe,88000,5,0.061,0.13640014662748717,0.11956,0.061,0.13640014662748717,0.11956,0.037,0.051429563482495166,0.04508,96.276,6.62217052785565,5.8045883958813125
case3_hard_slippery_8x8,DQN-Safe,90000,5,0.023,0.05142956348249516,0.045079999999999995,0.023,0.05142956348249516,0.045079999999999995,0.019,0.042485291572496,0.037239999999999995,98.296,3.81025983365964,3.3398399999999984
case3_hard_slippery_8x8,DQN-Safe,92000,5,0.062,0.13863621460498696,0.12151999999999999,0.062,0.13863621460498696,0.12151999999999999,0.041,0.05116150896914593,0.04484503985949839,96.401,4.954374834426638,4.342701014990553
case3_hard_slippery_8x8,DQN-Safe,94000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.006,0.01341640786499874,0.01176,98.002,3.8745590071645575,3.3962007105587855
case3_hard_slippery_8x8,DQN-Safe,96000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.052000000000000005,0.05772780958948643,0.050600656122228305,95.77799999999999,5.3318929565399165,4.6736102390336285
case3_hard_slippery_8x8,DQN-Safe,98000,5,0.063,0.14087228258248677,0.12348,0.063,0.14087228258248677,0.12348,0.009000000000000001,0.00894427190999916,0.00784,97.65400000000001,4.7895164160904615,4.198196240005941
case3_hard_slippery_8x8,DQN-Safe,100000,5,0.061,0.13640014662748717,0.11956,0.061,0.13640014662748717,0.11956,0.005,0.011180339887498949,0.0098,97.752,5.026680813419524,4.4060799999999976
case3_hard_slippery_8x8,DQN-Safe,102000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.013000000000000001,0.029068883707497266,0.02548,97.601,3.8640658638278933,3.387003064893801
case3_hard_slippery_8x8,DQN-Safe,104000,5,0.061,0.13640014662748717,0.11956,0.061,0.13640014662748717,0.11956,0.022,0.02413503677229434,0.021155292482024444,97.001,5.392635487403167,4.726853414862787
case3_hard_slippery_8x8,DQN-Safe,106000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.027000000000000003,0.02564176280991617,0.022475996084712242,97.088,3.4492981170087353,3.0234431052030737
case3_hard_slippery_8x8,DQN-Safe,108000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.022360679774997897,0.0196,99.683,0.7088335488674306,0.6213199999999975
case3_hard_slippery_8x8,DQN-Safe,110000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.032,0.07155417527999328,0.06272,97.001,4.22048634638237,3.699419392499315
case3_hard_slippery_8x8,DQN-Safe,112000,5,0.06,0.1341640786499874,0.11760000000000001,0.06,0.1341640786499874,0.11760000000000001,0.047,0.10509519494249013,0.09212000000000001,96.442,4.872012674449854,4.2705073987056865
case3_hard_slippery_8x8,DQN-Safe,114000,5,0.031,0.06931810730249348,0.060759999999999995,0.031,0.06931810730249348,0.060759999999999995,0.015,0.023979157616563596,0.02101865837773667,98.32699999999998,2.248515065548818,1.9709103537198247
case3_hard_slippery_8x8,DQN-Safe,116000,5,0.041,0.0833966426182733,0.07310038029996833,0.041,0.0833966426182733,0.07310038029996833,0.05500000000000001,0.09460443964212249,0.0829244475411202,96.36,4.897121603554478,4.29251634545519
case3_hard_slippery_8x8,DQN-Safe,118000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.03193743884534263,0.027994399439887973,99.074,1.3690206353448438,1.1999994956665605
case3_hard_slippery_8x8,DQN-Safe,120000,5,0.026000000000000002,0.05813776741499454,0.050960000000000005,0.026000000000000002,0.05813776741499454,0.050960000000000005,0.045,0.05135659646043535,0.045016041585194934,97.713,2.470216589694112,2.1652403077718665
